Country name,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
France,6.66130018234253,0.0376057401299477,6.73500728607178,6.58759307861328,10.7007350921631,0.908803761005402,72.3000564575195,0.818730354309082,-0.100289851427078,0.552618503570557,1.77782511711121,1.85564482212067,1.43342459201813,0.565909087657928,0.581645250320435,0.0826210081577301,0.269653737545013,1.87244606018066
Slovenia,6.64989995956421,0.0508371666073799,6.74954080581665,6.55025911331177,10.5882911682129,0.950524747371674,71.0518493652344,0.913280487060547,0.0144006377086043,0.771246016025543,1.77782511711121,1.81531715393066,1.53881275653839,0.531899571418762,0.707465529441834,0.144157871603966,0.113058045506477,1.7991509437561
Costa Rica,6.6085000038147,0.0516055151820183,6.70964670181274,6.50735330581665,9.95156669616699,0.871637940406799,70,0.895020961761475,-0.0698049068450928,0.767810046672821,1.77782511711121,1.58695769309998,1.33954274654388,0.503240168094635,0.683167159557343,0.0989776253700256,0.115519121289253,2.28106117248535
Romania,6.5890998840332,0.0515877231955528,6.6902117729187,6.48798799514771,10.3390550613403,0.847961902618408,67.0508575439453,0.855814576148987,-0.171748369932175,0.929089426994324,1.77782511711121,1.72592926025391,1.27973651885986,0.422885894775391,0.630994200706482,0.0442801453173161,0,2.48531055450439
Singapore,6.58669996261597,0.0679196491837502,6.7198224067688,6.45357751846314,11.5714979171753,0.877539694309235,73.8000030517578,0.8776695728302,0.0627389848232269,0.146112382411957,1.77782511711121,2.1679413318634,1.35445094108582,0.606777608394623,0.660077214241028,0.170093670487404,0.560820698738098,1.06655550003052
United Arab Emirates,6.57119989395142,0.0432604178786278,6.65599012374878,6.48640966415405,11.1451740264893,0.825512707233429,66.2431564331055,0.941783547401428,0.0956914871931076,0.583792865276337,1.77782511711121,2.01504158973694,1.22302949428558,0.400878727436066,0.745395302772522,0.187774255871773,0.247324585914612,1.75178194046021
Taiwan Province of China,6.53539991378784,0.0468713939189911,6.62726783752441,6.44353199005127,10.797459602356,0.88442462682724,69.5999984741211,0.803920984268189,-0.128957808017731,0.680981755256653,1.77782511711121,1.89033472537994,1.37184238433838,0.492341488599777,0.561938047409058,0.0672392994165421,0.177711367607117,1.9740161895752
Uruguay,6.49389982223511,0.0456733591854572,6.58341979980469,6.40437984466553,10.036509513855,0.913208961486816,67.5,0.89520001411438,-0.0646173283457756,0.574579119682312,1.77782511711121,1.61742210388184,1.44455206394196,0.435123533010483,0.68340539932251,0.101760998368263,0.253924071788788,1.95772075653076
Slovakia,6.46859979629517,0.0556276775896549,6.57763004302979,6.35956954956055,10.3534336090088,0.952560603618622,68.8378372192383,0.753227889537811,-0.0164425987750292,0.897835910320282,1.77782511711121,1.73108613491058,1.54395532608032,0.471575140953064,0.494479417800903,0.127609014511108,0.0223858673125505,2.07755851745605
Saudi Arabia,6.46260023117065,0.0606304109096527,6.5814356803894,6.3437647819519,10.7154512405396,0.883869171142578,64.399299621582,0.893814980983734,-0.0806520581245422,0.691308975219727,1.77782511711121,1.86092269420624,1.37043917179108,0.350639760494232,0.681562304496765,0.0931576117873192,0.170314326882362,1.93555927276611
